epoch,loss,val_loss
0,3.413558006286621,2.8636491298675537
1,2.9041740894317627,2.748403787612915
2,2.7713823318481445,2.6390528678894043
3,2.6558024883270264,2.552241086959839
4,2.554701566696167,2.4809203147888184
5,2.4679179191589355,2.4270737171173096
6,2.396029233932495,2.3808794021606445
7,2.3327078819274902,2.347008466720581
8,2.27700138092041,2.3238155841827393
9,2.226335048675537,2.3080227375030518
10,2.1789424419403076,2.291081190109253
11,2.1356987953186035,2.2797539234161377
12,2.0938804149627686,2.276881456375122
13,2.0533626079559326,2.2705652713775635
14,2.014176845550537,2.262303590774536
15,1.9753692150115967,2.268448829650879
16,1.938570261001587,2.2739031314849854
17,1.902463436126709,2.2705655097961426
18,1.8666025400161743,2.2823803424835205
19,1.8316231966018677,2.287818670272827
