epoch,loss,val_loss
0,3.295623540878296,2.8380062580108643
1,2.866868019104004,2.688058376312256
2,2.675518035888672,2.5481529235839844
3,2.5266876220703125,2.4330012798309326
4,2.4118897914886475,2.375974416732788
5,2.3219351768493652,2.325993299484253
6,2.245875358581543,2.2986502647399902
7,2.1809287071228027,2.27047061920166
8,2.1229159832000732,2.252387285232544
9,2.068286418914795,2.236232280731201
10,2.016632318496704,2.235628366470337
11,1.9673503637313843,2.224210262298584
12,1.9202516078948975,2.222327709197998
13,1.8756152391433716,2.2269649505615234
14,1.832034945487976,2.2223031520843506
15,1.7911126613616943,2.2247273921966553
16,1.7484123706817627,2.2322402000427246
17,1.7078319787979126,2.23508358001709
18,1.6678775548934937,2.2402803897857666
19,1.6293747425079346,2.2522270679473877
20,1.5909839868545532,2.2577931880950928
21,1.5530120134353638,2.2686192989349365
22,1.5156744718551636,2.2823169231414795
23,1.4796355962753296,2.2892534732818604
