epoch,loss,val_loss
0,3.412092447280884,2.864797592163086
1,2.900585651397705,2.7364580631256104
2,2.7626430988311768,2.6412715911865234
3,2.6458799839019775,2.5491180419921875
4,2.548954963684082,2.474313735961914
5,2.467592477798462,2.4254417419433594
6,2.398625373840332,2.3816845417022705
7,2.339214563369751,2.352787971496582
8,2.2855355739593506,2.325049638748169
9,2.2370896339416504,2.3133745193481445
10,2.192654848098755,2.2924880981445312
11,2.14998197555542,2.282463788986206
12,2.109755754470825,2.2753899097442627
13,2.07018780708313,2.2684128284454346
14,2.0326530933380127,2.2623982429504395
15,1.9962183237075806,2.263871669769287
16,1.9609578847885132,2.2695095539093018
17,1.9259370565414429,2.2701539993286133
18,1.8919130563735962,2.2741143703460693
19,1.8581604957580566,2.276726484298706
20,1.8246972560882568,2.288151502609253
21,1.7910808324813843,2.30210018157959
22,1.7578973770141602,2.3119237422943115
23,1.7253304719924927,2.3203601837158203
24,1.6926746368408203,2.3307442665100098
